episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1,0.322507362,2.691239293,-84.0063967,-15,0.6,1,0,FALSE,TRUE,0.606162331,1,23.1182218,17.885,prepare,0
0,2,0.322497225,2.691372917,-84.00607496,30,0.6,4,0.8,FALSE,TRUE,0.605582909,1,23.1182218,17.955,in_progress,0
0,3,0.323028309,2.683638363,-84.07055805,15,0.6,3,1,FALSE,TRUE,0.639096415,1,23.1182218,18.011,in_progress,0
0,4,0.326074617,2.664495766,-83.81931072,30,0.6,4,0.8,FALSE,TRUE,0.72289555,1,23.1182218,18.089,in_progress,0
0,5,0.332900333,2.631900601,-83.08117545,0,0.6,2,1,FALSE,TRUE,0.866643645,1,23.1182218,18.146,in_progress,0
0,6,0.340842273,2.601577501,-82.08226523,15,0.6,3,1,FALSE,TRUE,1.001342845,2,23.1182218,18.238,in_progress,0
0,7,0.355347723,2.558137747,-80.11716211,15,0.6,3,1,FALSE,TRUE,1.196216139,2,23.1182218,18.296,in_progress,0
0,8,0.373420859,2.512397224,-77.84965327,-15,0.6,1,1,FALSE,TRUE,1.407955846,2,23.1182218,18.35,in_progress,0
0,9,0.388918217,2.470263542,-76.40323681,-30,0.6,0,0.8,FALSE,TRUE,1.599464872,2,23.1182218,18.416,in_progress,0
0,10,0.401753577,2.435877543,-75.34282137,15,0.6,3,1,FALSE,TRUE,1.755908792,3,23.1182218,18.477,in_progress,0
0,11,0.417255835,2.387262863,-74.70838647,0,0.6,2,1,FALSE,TRUE,1.982719277,3,23.1182218,18.549,in_progress,0
0,12,0.430983888,2.351795764,-73.78032806,15,0.6,3,1,FALSE,TRUE,2.145550025,3,23.1182218,18.622,in_progress,0
0,13,0.448263475,2.309273511,-72.68382816,-30,0.6,0,0.8,FALSE,TRUE,2.34156816,4,23.1182218,18.69,in_progress,0
0,14,0.465369574,2.259223635,-72.38511752,0,0.6,2,1,FALSE,TRUE,2.569148305,4,23.1182218,18.754,in_progress,0
0,15,0.476783157,2.224403188,-72.28671407,0,0.6,2,1,FALSE,TRUE,2.737154341,4,23.1182218,18.822,in_progress,0
0,16,0.491945858,2.180283238,-72.02344642,0,0.6,2,1,FALSE,TRUE,2.938479121,4,23.1182218,18.882,in_progress,0
0,17,0.506230244,2.141198672,-71.6608307,30,0.6,4,0.8,FALSE,TRUE,3.117782792,5,23.1182218,18.956,in_progress,0
0,18,0.525831869,2.098881311,-70.42278532,30,0.6,4,0.8,FALSE,TRUE,3.334675052,5,23.1182218,19.02,in_progress,0
0,19,0.546185811,2.061932734,-68.92453382,-30,0.6,0,0.8,FALSE,TRUE,3.513918234,5,23.1182218,19.089,in_progress,0
0,20,0.565399005,2.024511654,-67.9094287,30,0.6,4,0.8,FALSE,TRUE,3.693575082,6,23.1182218,19.151,in_progress,0
0,21,0.585793582,1.987904604,-66.6966378,-15,0.6,1,1,FALSE,TRUE,3.871468199,6,23.1182218,19.229,in_progress,0
